fonte_dados,categoria_macro,genero,cor,idade,faixa_etaria,municipio,bairro,sexo,cutis
homicidios,violencia_social,1 MASCULINO,PARDA,24.0,18_24,SOORETAMA,SALVADOR,,
homicidios,violencia_social,2 FEMININO,PARDA,49.0,45_54,ITAPEMIRIM,ROSA MEIRELES,,
homicidios,violencia_social,1 MASCULINO,PARDA,42.0,35_44,SAO MATEUS,SAO BENEDITO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,24.0,18_24,VILA VELHA,PONTA DA FRUTA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,30.0,25_34,SAO MATEUS,VITORIA,,
homicidios,violencia_social,2 FEMININO,PARDA,0.0,0_14,LINHARES,SANTA CRUZ,,
homicidios,violencia_social,1 MASCULINO,PARDA,17.0,15_17,LINHARES,SANTA CRUZ,,
homicidios,violencia_social,1 MASCULINO,PARDA,26.0,25_34,LINHARES,SANTA CRUZ,,
homicidios,violencia_social,1 MASCULINO,PARDA,53.0,45_54,NOVA VENECIA,MUNICIPAL,,
homicidios,violencia_social,1 MASCULINO,NEGRA,35.0,35_44,SERRA,ALTEROSAS,,
homicidios,violencia_social,1 MASCULINO,BRANCA,22.0,18_24,CARIACICA,JARDIM BOTANICO,,
homicidios,violencia_social,1 MASCULINO,PARDA,42.0,35_44,AGUA DOCE DO NORTE,VILA ESPERANCA,,
homicidios,violencia_social,2 FEMININO,PARDA,16.0,15_17,LINHARES,NOVA ESPERANCA,,
homicidios,violencia_social,2 FEMININO,PARDA,29.0,25_34,GUARAPARI,ADALBERTO SIMAO NADER,,
homicidios,violencia_social,1 MASCULINO,PARDA,27.0,25_34,BARRA DE SAO FRANCISCO,COLINA,,
homicidios,violencia_social,1 MASCULINO,PARDA,31.0,25_34,SOORETAMA,SALVADOR,,
homicidios,violencia_social,1 MASCULINO,PARDA,6.0,0_14,VILA VELHA,RESIDENCIAL JABAETE,,
homicidios,violencia_social,1 MASCULINO,NEGRA,23.0,18_24,SAO GABRIEL DA PALHA,GUSTAVO BOONE,,
homicidios,violencia_social,2 FEMININO,PARDA,17.0,15_17,SERRA,SAO GERALDO,,
homicidios,violencia_social,1 MASCULINO,PARDA,23.0,18_24,CARIACICA,SANTO ANTONIO,,
