periodo_dia,municipio,categoria_macro,quantidade
TARDE,MIMOSO DO SUL,patrimonial,54
TARDE,MIMOSO DO SUL,violencia_social,25
TARDE,MIMOSO DO SUL,objetos,6
MADRUGADA,MONTANHA,patrimonial,38
MADRUGADA,MONTANHA,violencia_social,25
MADRUGADA,MONTANHA,objetos,9
MADRUGADA,MONTANHA,digital,1
MANHA,MONTANHA,patrimonial,23
MANHA,MONTANHA,violencia_social,8
MANHA,MONTANHA,objetos,7
NOITE,MONTANHA,violencia_social,31
NOITE,MONTANHA,patrimonial,14
NOITE,MONTANHA,objetos,5
NOITE,MONTANHA,digital,1
TARDE,MONTANHA,patrimonial,40
TARDE,MONTANHA,violencia_social,16
TARDE,MONTANHA,objetos,8
MADRUGADA,MUCURICI,patrimonial,7
MADRUGADA,MUCURICI,violencia_social,6
MADRUGADA,MUCURICI,objetos,2
MANHA,MUCURICI,digital,1
NOITE,MUCURICI,violencia_social,13
NOITE,MUCURICI,patrimonial,3
NOITE,MUCURICI,objetos,1
TARDE,MUCURICI,patrimonial,6
TARDE,MUCURICI,violencia_social,6
MADRUGADA,MUNIZ FREIRE,violencia_social,8
MADRUGADA,MUNIZ FREIRE,objetos,3
MADRUGADA,MUNIZ FREIRE,patrimonial,3
MANHA,MUNIZ FREIRE,patrimonial,22
MANHA,MUNIZ FREIRE,violencia_social,11
MANHA,MUNIZ FREIRE,objetos,2
NOITE,MUNIZ FREIRE,violencia_social,27
NOITE,MUNIZ FREIRE,patrimonial,17
NOITE,MUNIZ FREIRE,objetos,2
TARDE,MUNIZ FREIRE,patrimonial,51
TARDE,MUNIZ FREIRE,violencia_social,21
TARDE,MUNIZ FREIRE,objetos,2
MADRUGADA,MUQUI,violencia_social,9
MADRUGADA,MUQUI,patrimonial,3
MADRUGADA,MUQUI,objetos,2
MANHA,MUQUI,patrimonial,21
MANHA,MUQUI,violencia_social,12
MANHA,MUQUI,objetos,3
NOITE,MUQUI,violencia_social,17
NOITE,MUQUI,objetos,8
NOITE,MUQUI,patrimonial,7
TARDE,MUQUI,patrimonial,49
TARDE,MUQUI,violencia_social,9
TARDE,MUQUI,objetos,1
MADRUGADA,NOVA VENECIA,patrimonial,118
MADRUGADA,NOVA VENECIA,violencia_social,76
MADRUGADA,NOVA VENECIA,objetos,20
MADRUGADA,NOVA VENECIA,digital,1
MANHA,NOVA VENECIA,patrimonial,119
MANHA,NOVA VENECIA,violencia_social,57
MANHA,NOVA VENECIA,objetos,12
MANHA,NOVA VENECIA,digital,1
NOITE,NOVA VENECIA,violencia_social,114
NOITE,NOVA VENECIA,patrimonial,52
NOITE,NOVA VENECIA,objetos,14
TARDE,NOVA VENECIA,patrimonial,163
TARDE,NOVA VENECIA,violencia_social,67
TARDE,NOVA VENECIA,objetos,19
TARDE,NOVA VENECIA,digital,1
MADRUGADA,PANCAS,patrimonial,13
MADRUGADA,PANCAS,violencia_social,7
MADRUGADA,PANCAS,objetos,4
MADRUGADA,PANCAS,digital,2
MANHA,PANCAS,patrimonial,39
MANHA,PANCAS,violencia_social,18
MANHA,PANCAS,objetos,3
MANHA,PANCAS,digital,1
NOITE,PANCAS,violencia_social,23
NOITE,PANCAS,patrimonial,11
NOITE,PANCAS,objetos,4
NOITE,PANCAS,digital,1
TARDE,PANCAS,patrimonial,44
TARDE,PANCAS,violencia_social,28
TARDE,PANCAS,objetos,7
TARDE,PANCAS,digital,3
MADRUGADA,PEDRO CANARIO,violencia_social,7
MADRUGADA,PEDRO CANARIO,patrimonial,5
MADRUGADA,PEDRO CANARIO,objetos,3
MANHA,PEDRO CANARIO,patrimonial,38
MANHA,PEDRO CANARIO,violencia_social,15
MANHA,PEDRO CANARIO,objetos,8
NOITE,PEDRO CANARIO,violencia_social,31
NOITE,PEDRO CANARIO,patrimonial,17
NOITE,PEDRO CANARIO,objetos,6
TARDE,PEDRO CANARIO,patrimonial,53
TARDE,PEDRO CANARIO,violencia_social,14
TARDE,PEDRO CANARIO,objetos,6
TARDE,PEDRO CANARIO,digital,1
MADRUGADA,PINHEIROS,violencia_social,19
MADRUGADA,PINHEIROS,patrimonial,5
MADRUGADA,PINHEIROS,digital,4
MADRUGADA,PINHEIROS,objetos,3
MANHA,PINHEIROS,patrimonial,38
MANHA,PINHEIROS,violencia_social,22
MANHA,PINHEIROS,objetos,15
MANHA,PINHEIROS,digital,8
NOITE,PINHEIROS,violencia_social,46
NOITE,PINHEIROS,patrimonial,20
NOITE,PINHEIROS,objetos,11
NOITE,PINHEIROS,digital,1
TARDE,PINHEIROS,patrimonial,43
TARDE,PINHEIROS,violencia_social,30
TARDE,PINHEIROS,digital,13
TARDE,PINHEIROS,objetos,6
MADRUGADA,PIUMA,patrimonial,44
MADRUGADA,PIUMA,violencia_social,32
MADRUGADA,PIUMA,objetos,19
MANHA,PIUMA,patrimonial,76
MANHA,PIUMA,violencia_social,31
MANHA,PIUMA,objetos,6
MANHA,PIUMA,digital,1
NOITE,PIUMA,patrimonial,71
NOITE,PIUMA,violencia_social,58
NOITE,PIUMA,objetos,39
TARDE,PIUMA,patrimonial,111
TARDE,PIUMA,violencia_social,40
TARDE,PIUMA,objetos,8
TARDE,PIUMA,digital,3
MADRUGADA,PONTO BELO,patrimonial,6
MADRUGADA,PONTO BELO,violencia_social,6
MADRUGADA,PONTO BELO,objetos,1
MANHA,PONTO BELO,patrimonial,5
MANHA,PONTO BELO,violencia_social,2
MANHA,PONTO BELO,objetos,1
NOITE,PONTO BELO,violencia_social,7
NOITE,PONTO BELO,patrimonial,5
NOITE,PONTO BELO,objetos,2
TARDE,PONTO BELO,patrimonial,9
TARDE,PONTO BELO,violencia_social,6
TARDE,PONTO BELO,digital,1
MADRUGADA,PRESIDENTE KENNEDY,violencia_social,13
MADRUGADA,PRESIDENTE KENNEDY,patrimonial,6
MADRUGADA,PRESIDENTE KENNEDY,objetos,2
MANHA,PRESIDENTE KENNEDY,patrimonial,24
MANHA,PRESIDENTE KENNEDY,violencia_social,15
NOITE,PRESIDENTE KENNEDY,violencia_social,43
NOITE,PRESIDENTE KENNEDY,patrimonial,8
NOITE,PRESIDENTE KENNEDY,objetos,3
TARDE,PRESIDENTE KENNEDY,patrimonial,31
TARDE,PRESIDENTE KENNEDY,violencia_social,27
TARDE,PRESIDENTE KENNEDY,objetos,5
MADRUGADA,RIO BANANAL,violencia_social,9
MADRUGADA,RIO BANANAL,objetos,1
MANHA,RIO BANANAL,patrimonial,22
MANHA,RIO BANANAL,violencia_social,14
MANHA,RIO BANANAL,objetos,3
NOITE,RIO BANANAL,violencia_social,24
NOITE,RIO BANANAL,objetos,5
NOITE,RIO BANANAL,patrimonial,5
TARDE,RIO BANANAL,patrimonial,29
TARDE,RIO BANANAL,violencia_social,20
TARDE,RIO BANANAL,objetos,4
MADRUGADA,RIO NOVO DO SUL,patrimonial,5
MADRUGADA,RIO NOVO DO SUL,violencia_social,5
MADRUGADA,RIO NOVO DO SUL,objetos,3
MANHA,RIO NOVO DO SUL,patrimonial,24
MANHA,RIO NOVO DO SUL,objetos,3
MANHA,RIO NOVO DO SUL,violencia_social,2
MANHA,RIO NOVO DO SUL,digital,1
NOITE,RIO NOVO DO SUL,patrimonial,17
NOITE,RIO NOVO DO SUL,violencia_social,12
NOITE,RIO NOVO DO SUL,objetos,7
TARDE,RIO NOVO DO SUL,violencia_social,19
TARDE,RIO NOVO DO SUL,patrimonial,15
TARDE,RIO NOVO DO SUL,objetos,4
MADRUGADA,SANTA LEOPOLDINA,violencia_social,6
MADRUGADA,SANTA LEOPOLDINA,objetos,4
MADRUGADA,SANTA LEOPOLDINA,patrimonial,4
MANHA,SANTA LEOPOLDINA,patrimonial,22
MANHA,SANTA LEOPOLDINA,violencia_social,11
MANHA,SANTA LEOPOLDINA,objetos,2
NOITE,SANTA LEOPOLDINA,violencia_social,18
NOITE,SANTA LEOPOLDINA,patrimonial,8
NOITE,SANTA LEOPOLDINA,objetos,4
TARDE,SANTA LEOPOLDINA,patrimonial,19
TARDE,SANTA LEOPOLDINA,violencia_social,8
TARDE,SANTA LEOPOLDINA,objetos,1
MADRUGADA,SANTA MARIA DE JETIBA,violencia_social,19
MADRUGADA,SANTA MARIA DE JETIBA,patrimonial,18
MADRUGADA,SANTA MARIA DE JETIBA,objetos,10
MANHA,SANTA MARIA DE JETIBA,patrimonial,49
MANHA,SANTA MARIA DE JETIBA,violencia_social,30
MANHA,SANTA MARIA DE JETIBA,objetos,13
MANHA,SANTA MARIA DE JETIBA,digital,3
NOITE,SANTA MARIA DE JETIBA,violencia_social,93
NOITE,SANTA MARIA DE JETIBA,patrimonial,21
NOITE,SANTA MARIA DE JETIBA,objetos,20
NOITE,SANTA MARIA DE JETIBA,digital,1
TARDE,SANTA MARIA DE JETIBA,patrimonial,95
TARDE,SANTA MARIA DE JETIBA,violencia_social,87
TARDE,SANTA MARIA DE JETIBA,objetos,9
TARDE,SANTA MARIA DE JETIBA,digital,3
MADRUGADA,SANTA TERESA,violencia_social,13
MADRUGADA,SANTA TERESA,patrimonial,7
MADRUGADA,SANTA TERESA,digital,1
MADRUGADA,SANTA TERESA,objetos,1
MANHA,SANTA TERESA,patrimonial,52
MANHA,SANTA TERESA,violencia_social,12
MANHA,SANTA TERESA,digital,7
MANHA,SANTA TERESA,objetos,3
NOITE,SANTA TERESA,violencia_social,38
NOITE,SANTA TERESA,patrimonial,18
NOITE,SANTA TERESA,objetos,10
NOITE,SANTA TERESA,digital,3
TARDE,SANTA TERESA,patrimonial,65
TARDE,SANTA TERESA,violencia_social,25
TARDE,SANTA TERESA,digital,12
TARDE,SANTA TERESA,objetos,2
MADRUGADA,SAO DOMINGOS DO NORTE,violencia_social,7
MADRUGADA,SAO DOMINGOS DO NORTE,patrimonial,2
MANHA,SAO DOMINGOS DO NORTE,patrimonial,18
MANHA,SAO DOMINGOS DO NORTE,violencia_social,8
MANHA,SAO DOMINGOS DO NORTE,objetos,3
NOITE,SAO DOMINGOS DO NORTE,violencia_social,12
NOITE,SAO DOMINGOS DO NORTE,patrimonial,8
NOITE,SAO DOMINGOS DO NORTE,objetos,2
TARDE,SAO DOMINGOS DO NORTE,patrimonial,16
TARDE,SAO DOMINGOS DO NORTE,violencia_social,6
TARDE,SAO DOMINGOS DO NORTE,objetos,2
MADRUGADA,SAO GABRIEL DA PALHA,violencia_social,32
MADRUGADA,SAO GABRIEL DA PALHA,patrimonial,20
MADRUGADA,SAO GABRIEL DA PALHA,objetos,13
MANHA,SAO GABRIEL DA PALHA,patrimonial,62
MANHA,SAO GABRIEL DA PALHA,violencia_social,39
MANHA,SAO GABRIEL DA PALHA,objetos,14
MANHA,SAO GABRIEL DA PALHA,digital,1
NOITE,SAO GABRIEL DA PALHA,violencia_social,109
NOITE,SAO GABRIEL DA PALHA,patrimonial,31
NOITE,SAO GABRIEL DA PALHA,objetos,18
TARDE,SAO GABRIEL DA PALHA,patrimonial,81
TARDE,SAO GABRIEL DA PALHA,violencia_social,44
TARDE,SAO GABRIEL DA PALHA,objetos,14
MADRUGADA,SAO JOSE DO CALCADO,violencia_social,21
MADRUGADA,SAO JOSE DO CALCADO,patrimonial,15
MANHA,SAO JOSE DO CALCADO,patrimonial,22
MANHA,SAO JOSE DO CALCADO,violencia_social,11
MANHA,SAO JOSE DO CALCADO,objetos,3
NOITE,SAO JOSE DO CALCADO,violencia_social,28
NOITE,SAO JOSE DO CALCADO,patrimonial,10
NOITE,SAO JOSE DO CALCADO,objetos,1
TARDE,SAO JOSE DO CALCADO,patrimonial,27
TARDE,SAO JOSE DO CALCADO,violencia_social,13
TARDE,SAO JOSE DO CALCADO,objetos,2
MADRUGADA,SAO MATEUS,violencia_social,139
MADRUGADA,SAO MATEUS,patrimonial,81
MADRUGADA,SAO MATEUS,objetos,45
MADRUGADA,SAO MATEUS,digital,1
MANHA,SAO MATEUS,violencia_social,97
MANHA,SAO MATEUS,patrimonial,82
MANHA,SAO MATEUS,objetos,36
NOITE,SAO MATEUS,violencia_social,174
NOITE,SAO MATEUS,patrimonial,108
NOITE,SAO MATEUS,objetos,81
TARDE,SAO MATEUS,patrimonial,147
TARDE,SAO MATEUS,violencia_social,112
TARDE,SAO MATEUS,objetos,41
MADRUGADA,SAO ROQUE DO CANAA,objetos,2
MADRUGADA,SAO ROQUE DO CANAA,patrimonial,2
MADRUGADA,SAO ROQUE DO CANAA,violencia_social,2
MANHA,SAO ROQUE DO CANAA,patrimonial,19
MANHA,SAO ROQUE DO CANAA,violencia_social,2
MANHA,SAO ROQUE DO CANAA,digital,1
NOITE,SAO ROQUE DO CANAA,violencia_social,13
NOITE,SAO ROQUE DO CANAA,patrimonial,5
NOITE,SAO ROQUE DO CANAA,digital,1
TARDE,SAO ROQUE DO CANAA,patrimonial,17
TARDE,SAO ROQUE DO CANAA,violencia_social,17
TARDE,SAO ROQUE DO CANAA,digital,3
TARDE,SAO ROQUE DO CANAA,objetos,3
MADRUGADA,SERRA,patrimonial,661
MADRUGADA,SERRA,objetos,583
MADRUGADA,SERRA,violencia_social,346
MADRUGADA,SERRA,digital,32
MANHA,SERRA,patrimonial,2359
MANHA,SERRA,objetos,736
MANHA,SERRA,violencia_social,540
MANHA,SERRA,digital,118
NOITE,SERRA,patrimonial,2028
NOITE,SERRA,objetos,1190
NOITE,SERRA,violencia_social,803
NOITE,SERRA,digital,90
TARDE,SERRA,patrimonial,3404
TARDE,SERRA,objetos,989
TARDE,SERRA,violencia_social,576
TARDE,SERRA,digital,184
MADRUGADA,SOORETAMA,patrimonial,41
MADRUGADA,SOORETAMA,objetos,19
MADRUGADA,SOORETAMA,violencia_social,16
MANHA,SOORETAMA,patrimonial,24
MANHA,SOORETAMA,violencia_social,22
MANHA,SOORETAMA,objetos,7
NOITE,SOORETAMA,violencia_social,30
NOITE,SOORETAMA,objetos,15
NOITE,SOORETAMA,patrimonial,14
TARDE,SOORETAMA,patrimonial,26
TARDE,SOORETAMA,violencia_social,15
TARDE,SOORETAMA,objetos,8
MADRUGADA,VARGEM ALTA,patrimonial,14
MADRUGADA,VARGEM ALTA,violencia_social,11
MADRUGADA,VARGEM ALTA,objetos,2
MADRUGADA,VARGEM ALTA,digital,1
MANHA,VARGEM ALTA,patrimonial,31
MANHA,VARGEM ALTA,objetos,20
MANHA,VARGEM ALTA,violencia_social,20
MANHA,VARGEM ALTA,digital,6
NOITE,VARGEM ALTA,violencia_social,36
NOITE,VARGEM ALTA,patrimonial,14
NOITE,VARGEM ALTA,objetos,7
NOITE,VARGEM ALTA,digital,3
TARDE,VARGEM ALTA,patrimonial,59
TARDE,VARGEM ALTA,violencia_social,17
TARDE,VARGEM ALTA,digital,7
TARDE,VARGEM ALTA,objetos,1
MADRUGADA,VENDA NOVA DO IMIGRANTE,patrimonial,19
MADRUGADA,VENDA NOVA DO IMIGRANTE,violencia_social,5
MADRUGADA,VENDA NOVA DO IMIGRANTE,objetos,3
MANHA,VENDA NOVA DO IMIGRANTE,patrimonial,60
MANHA,VENDA NOVA DO IMIGRANTE,violencia_social,29
MANHA,VENDA NOVA DO IMIGRANTE,objetos,4
NOITE,VENDA NOVA DO IMIGRANTE,violencia_social,40
NOITE,VENDA NOVA DO IMIGRANTE,patrimonial,34
NOITE,VENDA NOVA DO IMIGRANTE,objetos,4
NOITE,VENDA NOVA DO IMIGRANTE,digital,2
TARDE,VENDA NOVA DO IMIGRANTE,patrimonial,104
TARDE,VENDA NOVA DO IMIGRANTE,violencia_social,26
TARDE,VENDA NOVA DO IMIGRANTE,objetos,5
MADRUGADA,VIANA,patrimonial,132
MADRUGADA,VIANA,objetos,66
MADRUGADA,VIANA,violencia_social,40
MADRUGADA,VIANA,digital,5
MANHA,VIANA,patrimonial,186
MANHA,VIANA,violencia_social,57
MANHA,VIANA,objetos,38
MANHA,VIANA,digital,3
NOITE,VIANA,patrimonial,151
NOITE,VIANA,violencia_social,121
NOITE,VIANA,objetos,59
NOITE,VIANA,digital,5
TARDE,VIANA,patrimonial,271
TARDE,VIANA,violencia_social,92
TARDE,VIANA,objetos,24
TARDE,VIANA,digital,3
MADRUGADA,VILA PAVAO,patrimonial,13
MADRUGADA,VILA PAVAO,violencia_social,3
MADRUGADA,VILA PAVAO,objetos,1
MANHA,VILA PAVAO,patrimonial,14
MANHA,VILA PAVAO,violencia_social,12
NOITE,VILA PAVAO,violencia_social,11
NOITE,VILA PAVAO,patrimonial,7
NOITE,VILA PAVAO,objetos,3
TARDE,VILA PAVAO,patrimonial,15
TARDE,VILA PAVAO,violencia_social,7
TARDE,VILA PAVAO,objetos,3
MADRUGADA,VILA VALERIO,violencia_social,5
MADRUGADA,VILA VALERIO,objetos,3
MADRUGADA,VILA VALERIO,patrimonial,3
MANHA,VILA VALERIO,patrimonial,6
MANHA,VILA VALERIO,violencia_social,4
MANHA,VILA VALERIO,objetos,1
NOITE,VILA VALERIO,violencia_social,9
NOITE,VILA VALERIO,patrimonial,8
NOITE,VILA VALERIO,objetos,3
TARDE,VILA VALERIO,patrimonial,20
TARDE,VILA VALERIO,violencia_social,7
TARDE,VILA VALERIO,objetos,2
MADRUGADA,VILA VELHA,patrimonial,1059
MADRUGADA,VILA VELHA,objetos,880
MADRUGADA,VILA VELHA,violencia_social,241
MADRUGADA,VILA VELHA,digital,8
MANHA,VILA VELHA,patrimonial,2830
MANHA,VILA VELHA,objetos,754
MANHA,VILA VELHA,violencia_social,482
MANHA,VILA VELHA,digital,23
NOITE,VILA VELHA,patrimonial,2330
NOITE,VILA VELHA,objetos,1351
NOITE,VILA VELHA,violencia_social,659
NOITE,VILA VELHA,digital,27
TARDE,VILA VELHA,patrimonial,4069
TARDE,VILA VELHA,objetos,1003
TARDE,VILA VELHA,violencia_social,572
TARDE,VILA VELHA,digital,37
MADRUGADA,VITORIA,patrimonial,717
MADRUGADA,VITORIA,objetos,469
MADRUGADA,VITORIA,violencia_social,166
MADRUGADA,VITORIA,digital,21
MANHA,VITORIA,patrimonial,2696
MANHA,VITORIA,objetos,858
MANHA,VITORIA,violencia_social,249
MANHA,VITORIA,digital,103
NOITE,VITORIA,patrimonial,1891
NOITE,VITORIA,objetos,903
NOITE,VITORIA,violencia_social,401
NOITE,VITORIA,digital,72
TARDE,VITORIA,patrimonial,3593
TARDE,VITORIA,objetos,902
TARDE,VITORIA,violencia_social,323
TARDE,VITORIA,digital,118
