periodo_dia,municipio,categoria_macro,quantidade
NOITE,ATILIO VIVACQUA,patrimonial,8
NOITE,ATILIO VIVACQUA,objetos,3
TARDE,ATILIO VIVACQUA,patrimonial,32
TARDE,ATILIO VIVACQUA,violencia_social,6
TARDE,ATILIO VIVACQUA,objetos,2
MADRUGADA,BAIXO GUANDU,patrimonial,25
MADRUGADA,BAIXO GUANDU,violencia_social,25
MADRUGADA,BAIXO GUANDU,objetos,15
MANHA,BAIXO GUANDU,patrimonial,86
MANHA,BAIXO GUANDU,violencia_social,34
MANHA,BAIXO GUANDU,objetos,10
NOITE,BAIXO GUANDU,violencia_social,70
NOITE,BAIXO GUANDU,patrimonial,35
NOITE,BAIXO GUANDU,objetos,6
TARDE,BAIXO GUANDU,patrimonial,120
TARDE,BAIXO GUANDU,violencia_social,51
TARDE,BAIXO GUANDU,objetos,9
MADRUGADA,BARRA DE SAO FRANCISCO,violencia_social,41
MADRUGADA,BARRA DE SAO FRANCISCO,patrimonial,28
MADRUGADA,BARRA DE SAO FRANCISCO,objetos,11
MANHA,BARRA DE SAO FRANCISCO,patrimonial,111
MANHA,BARRA DE SAO FRANCISCO,violencia_social,67
MANHA,BARRA DE SAO FRANCISCO,objetos,16
MANHA,BARRA DE SAO FRANCISCO,digital,4
NOITE,BARRA DE SAO FRANCISCO,violencia_social,89
NOITE,BARRA DE SAO FRANCISCO,patrimonial,64
NOITE,BARRA DE SAO FRANCISCO,objetos,17
NOITE,BARRA DE SAO FRANCISCO,digital,1
TARDE,BARRA DE SAO FRANCISCO,patrimonial,180
TARDE,BARRA DE SAO FRANCISCO,violencia_social,76
TARDE,BARRA DE SAO FRANCISCO,objetos,19
TARDE,BARRA DE SAO FRANCISCO,digital,4
MADRUGADA,BOA ESPERANCA,violencia_social,15
MADRUGADA,BOA ESPERANCA,objetos,4
MADRUGADA,BOA ESPERANCA,patrimonial,2
MANHA,BOA ESPERANCA,patrimonial,15
MANHA,BOA ESPERANCA,violencia_social,8
MANHA,BOA ESPERANCA,objetos,6
NOITE,BOA ESPERANCA,violencia_social,39
