municipio,tipo_objeto,acao_objeto,quantidade
GUACUI,BICICLETA,FURTADO,7
GUACUI,VEICULO,FURTADO,6
GUARAPARI,APARELHOS TELEFONICOS,FURTADO,261
GUARAPARI,APARELHOS TELEFONICOS,ROUBADO,157
GUARAPARI,BICICLETA,FURTADO,139
GUARAPARI,VEICULO,FURTADO,71
GUARAPARI,VEICULO,ROUBADO,17
GUARAPARI,BICICLETA,ROUBADO,14
IBATIBA,VEICULO,FURTADO,11
IBATIBA,APARELHOS TELEFONICOS,FURTADO,9
IBATIBA,APARELHOS TELEFONICOS,ROUBADO,5
IBATIBA,BICICLETA,FURTADO,5
IBATIBA,VEICULO,ROUBADO,1
IBIRACU,APARELHOS TELEFONICOS,FURTADO,9
IBIRACU,APARELHOS TELEFONICOS,ROUBADO,2
IBIRACU,BICICLETA,FURTADO,1
IBIRACU,VEICULO,FURTADO,1
IBITIRAMA,APARELHOS TELEFONICOS,FURTADO,2
IBITIRAMA,VEICULO,FURTADO,1
ICONHA,APARELHOS TELEFONICOS,FURTADO,6
ICONHA,BICICLETA,FURTADO,5
ICONHA,VEICULO,FURTADO,1
IRUPI,VEICULO,FURTADO,4
IRUPI,APARELHOS TELEFONICOS,ROUBADO,3
IRUPI,APARELHOS TELEFONICOS,FURTADO,2
IRUPI,BICICLETA,ROUBADO,1
IRUPI,VEICULO,ROUBADO,1
ITAGUACU,APARELHOS TELEFONICOS,FURTADO,6
ITAGUACU,VEICULO,FURTADO,5
ITAGUACU,BICICLETA,FURTADO,2
ITAPEMIRIM,APARELHOS TELEFONICOS,FURTADO,56
ITAPEMIRIM,VEICULO,FURTADO,15
ITAPEMIRIM,BICICLETA,FURTADO,12
ITAPEMIRIM,APARELHOS TELEFONICOS,ROUBADO,7
ITAPEMIRIM,VEICULO,ROUBADO,5
ITAPEMIRIM,BICICLETA,ROUBADO,1
ITARANA,VEICULO,FURTADO,4
IUNA,APARELHOS TELEFONICOS,FURTADO,13
IUNA,VEICULO,FURTADO,10
IUNA,APARELHOS TELEFONICOS,ROUBADO,3
IUNA,BICICLETA,FURTADO,2
IUNA,VEICULO,ROUBADO,2
JAGUARE,APARELHOS TELEFONICOS,FURTADO,8
JAGUARE,APARELHOS TELEFONICOS,ROUBADO,6
JAGUARE,VEICULO,ROUBADO,6
JAGUARE,VEICULO,FURTADO,3
JERONIMO MONTEIRO,VEICULO,FURTADO,5
JERONIMO MONTEIRO,APARELHOS TELEFONICOS,FURTADO,4
JERONIMO MONTEIRO,BICICLETA,FURTADO,2
JERONIMO MONTEIRO,APARELHOS TELEFONICOS,ROUBADO,1
JOAO NEIVA,APARELHOS TELEFONICOS,FURTADO,14
JOAO NEIVA,BICICLETA,FURTADO,3
JOAO NEIVA,VEICULO,FURTADO,2
LARANJA DA TERRA,APARELHOS TELEFONICOS,FURTADO,2
LARANJA DA TERRA,VEICULO,FURTADO,1
LINHARES,APARELHOS TELEFONICOS,ROUBADO,192
LINHARES,APARELHOS TELEFONICOS,FURTADO,183
LINHARES,BICICLETA,FURTADO,123
LINHARES,VEICULO,FURTADO,93
LINHARES,BICICLETA,ROUBADO,20
LINHARES,VEICULO,ROUBADO,17
MANTENOPOLIS,APARELHOS TELEFONICOS,FURTADO,10
MANTENOPOLIS,VEICULO,FURTADO,3
MANTENOPOLIS,BICICLETA,FURTADO,2
MARATAIZES,APARELHOS TELEFONICOS,FURTADO,66
MARATAIZES,VEICULO,FURTADO,58
MARATAIZES,BICICLETA,FURTADO,26
MARATAIZES,APARELHOS TELEFONICOS,ROUBADO,15
MARATAIZES,VEICULO,ROUBADO,5
